roll_number,department,credit,course_name,course_type,grade,Grade Numerical Value,Total Credits
588946,MA,3,EC250,hasmed_elective,AB,9,27
145372,EP,4,EP407,hasmed_elective,CC,6,24
834515,MA,8,EP885,hasmed_elective,BB,8,64
344265,CSE,6,CSE699,honours,AB,9,54
358405,MA,3,EE460,minor,AP,10,30
781075,CE,8,CE540,honours,CC,6,48
180828,CSE,6,CE880,minor,AB,9,54
981238,MM,4,CSE226,minor,AB,9,36
836881,MM,8,MM530,core,AA,10,80
310604,EE,8,EE202,core,AB,9,72
847809,IE,8,ME229,minor,AP,10,80
773982,EE,8,MA850,department_elective,BB,8,64
500658,CE,4,EC474,hasmed_elective,BC,7,28
810863,CE,4,CE197,flexible_elective,BB,8,32
124663,EE,8,EE676,alc,AB,9,72
364146,MA,3,MM527,hasmed_elective,CC,6,18
871746,IE,4,IE738,honours,BB,8,32
270007,IE,8,MA902,minor,AB,9,72
597353,CSE,3,ME883,alc,BC,7,21
781075,CE,4,EC284,minor,AB,9,36
986057,ME,3,EE688,minor,AB,9,27
718510,EP,3,EP672,honours,CC,6,18
871746,IE,8,EC326,flexible_elective,BC,7,56
836431,EE,3,EE112,honours,CC,6,18
379479,MA,8,MA737,core,AP,10,80
582912,CH,6,CH503,hasmed_elective,AB,9,54
788020,CE,3,CH140,department_elective,AA,10,30
613401,CE,3,EC728,flexible_elective,CC,6,18
124663,EE,4,MM274,minor,AA,10,40
582912,CH,8,ME315,flexible_elective,AA,10,80
144528,ME,6,MA849,alc,CC,6,36
485484,MM,4,MA837,alc,BB,8,32
364146,MA,4,MM431,minor,CC,6,24
680096,CH,3,ME950,department_elective,AA,10,30
199713,EE,3,EE949,core,CC,6,18
851029,CSE,8,EE254,department_elective,AP,10,80
845623,EE,8,EE433,flexible_elective,AA,10,80
364146,MA,3,CH809,alc,BC,7,21
344265,CSE,8,EC636,department_elective,AA,10,80
613401,CE,3,CE855,core,CC,6,18
836881,MM,6,EE403,alc,AP,10,60
847809,IE,8,EP552,minor,BB,8,64
150503,CH,6,MA631,flexible_elective,BC,7,42
214270,CH,8,CH324,core,AP,10,80
517837,CH,3,EP663,minor,AP,10,30
517837,CH,4,CH823,hasmed_elective,AA,10,40
482623,IE,8,MA330,alc,AA,10,80
721490,EP,6,ME912,minor,BB,8,48
214270,CH,6,CH617,honours,CC,6,36
955757,MM,6,EC191,alc,BC,7,42
721490,EP,8,CSE919,flexible_elective,AP,10,80
358405,MA,4,MM506,flexible_elective,BC,7,28
845623,EE,3,MA442,alc,CC,6,18
613401,CE,3,CE930,honours,AP,10,30
589528,EE,4,EP851,department_elective,AB,9,36
143856,CE,8,CE311,alc,AA,10,80
358405,MA,8,IE525,alc,AA,10,80
150503,CH,4,EP338,minor,CC,6,24
836881,MM,4,MM568,honours,AA,10,40
571782,ME,8,CSE763,minor,AP,10,80
973158,EE,4,ME658,department_elective,BC,7,28
214270,CH,8,ME610,department_elective,CC,6,48
124663,EE,6,EE236,alc,CC,6,36
703403,EC,8,EC764,honours,AB,9,72
960395,EE,3,EP910,alc,BC,7,21
